"original_idx","RM","LSTAT","RAD","CRIM","PTRATIO","DIS","ZN","NOX","CHAS","B","TAX","INDUS","AGE","MEDV","group"
216,5.38687629613534,4.490820011244,4,-1.34589061375781,-1.77782518065278,3.1121,0,0.55,1,392.8,276,13.89,56,23.3,1
394,5.62486321540077,4.04864495929333,16,0.805300729590257,1.09525159158064,1.7821,0,0.693,0,396.9,666,18.1,94.7,12.7,1
503,5.9485289870729,3.95542731386508,5,-0.762131503516381,-1.00932003330123,2.1675,0,0.573,0,396.9,273,11.93,91,23.9,1
157,7.41767233077849,2.04547040601994,14,0.107608468057865,0.122150272479385,1.8773,0,0.605,0,363.43,403,19.58,97.4,41.3,1
229,6.48034602633548,1.16965553820188,9,-0.287001555172807,0.019640762486606,3.3751,0,0.504,0,380.34,307,6.2,21.4,31.5,1
145,5.90978922711982,4.59821315762342,14,0.789246264499923,-0.537039817556573,1.4191,0,0.871,0,172.91,403,19.58,100,13.8,1
155,5.36958792742003,4.9247677952119,11,1.52730852765059,-0.0764630337238767,1.7455,0,0.871,1,88.01,403,19.58,82.6,15.6,1
166,8.24015163343349,1.10013149170522,9,-0.511037548244222,-0.529576870023073,2.0459,0,0.605,0,369.3,403,19.58,96.2,50,1
263,6.59142947111566,2.84184126831722,12,0.391792912851823,-1.48559408026796,2.0788,20,0.647,0,393.42,264,3.97,94.5,31,1
205,5.99261294097618,2.83039113283561,1,-0.915809376951865,-0.730929948710423,3.9454,0,0.489,0,396.9,277,10.59,22.3,22.6,1
293,5.29890354921638,3.20866345931459,7,-0.46634247766299,-0.273151969542616,5.5027,0,0.437,0,396.9,289,13.92,18.4,23.9,1
221,5.73848024993267,3.46610770559182,3,-0.873156867948791,-0.406787901525811,3.048,0,0.507,1,395.24,307,6.2,91.3,21.7,1
164,6.27355972129208,2.97505211814883,4,-0.0187505573919845,-0.416186363490777,2.422,0,0.605,0,395.11,403,19.58,91.8,22.7,1
231,6.34962655446662,2.21016627033098,4,-0.249946389691437,-0.673987211158382,3.6715,0,0.504,0,376.14,307,6.2,76.9,31.7,1
33,6.11207836693073,2.98435964332354,1,-0.292658607475026,0.498601875195328,3.7872,0,0.538,0,358.77,307,8.14,95,13.1,1
433,6.22551049768473,4.10261226385447,29,2.29338564048616,1.17968632145867,2.3158,0,0.713,0,100.19,666,18.1,87.9,14.3,1
152,4.88365733948434,4.98474501670324,20,0.744756549418785,-2.18533220385034,1.6102,0,0.871,1,343.28,403,19.58,88,15.3,1
160,6.79146698070938,3.47712260733356,18,1.17583280882216,-0.0578360486754853,1.7984,0,0.605,1,338.92,403,19.58,92.6,27,1
87,6.32327906970434,3.48860417167704,4,-0.683501090012183,-1.23510268937258,3.7476,0,0.449,0,395.15,247,4.49,56.8,22.2,1
259,7.33549091229465,2.68181531064257,5,-0.57482314492978,-0.871007952262587,2.0107,20,0.647,0,391.93,264,3.97,100,30.1,1
226,7.7718920159154,2.10170066356556,11,0.144819702627205,-0.317491412750616,3.2157,0,0.504,0,387.38,307,6.2,86.5,37.6,1
177,5.99579149405564,3.42427477370889,5,-0.916035698577399,0.579117788937599,3.3175,0,0.51,0,395.6,296,4.05,73.4,24.6,1
128,5.63047891676568,3.77948885649121,5,0.670441826905165,1.34007662952886,1.8125,0,0.624,0,396.9,437,21.89,98.8,18,1
96,6.75687263285619,3.23075616142162,1,-0.116091000424495,1.16925073234377,3.4952,0,0.445,0,391.83,276,2.89,69.6,21.4,1
173,6.96259670793438,3.34655863250244,6,-0.404249864484699,-0.191783366925694,2.6463,0,0.51,0,395.5,296,4.05,84.1,23.6,1
335,5.67806855605034,2.91683059060536,7,-0.975929853371278,-1.58555431660224,5.9853,0,0.515,0,396.9,224,5.19,34.5,21.1,1
41,5.83141460944943,2.73322010226851,3,-0.680063105851156,-0.920730758248455,5.7209,0,0.448,0,385.41,233,6.91,2.9,26.6,1
219,6.01289301732844,4.66185874986825,9,0.0791829702957296,0.589444206733201,3.3633,0,0.55,1,393.74,276,13.89,92.4,23,1
329,6.52829464169476,2.50644804827339,11,-0.0592449714304146,1.11104895615891,5.2146,0,0.46,0,375.21,430,3.24,17.2,22.6,1
267,8.13993497535219,2.04078304786728,9,-0.634558546914309,-1.88714317572526,2.4216,20,0.575,0,384.54,264,3.97,67,50,1
168,6.82387593687457,3.27406126178863,13,0.228459516168503,-1.54701457236491,2.1,0,0.605,0,297.09,403,19.58,96.1,23.8,1
171,6.2081620356252,4.44934086424737,6,-0.0018888522274451,-1.54701457236491,2.3887,0,0.605,0,348.13,403,19.58,97.3,19.1,1
169,6.16505684092272,3.09023061612447,8,0.00802909116434246,-1.54701457236491,2.2625,0,0.605,0,330.04,403,19.58,95.2,22.3,1
150,5.95239699493927,4.01872623545136,17,1.41254783675332,-1.54701457236491,1.618,0,0.871,0,372.8,403,19.58,97.3,21.5,1
159,5.52959175045514,3.9122650247753,11,-0.246706198072976,-1.54701457236491,1.7659,0,0.871,0,364.31,403,19.58,100,23.3,1
282,7.71634236184353,1.14500044284534,4,-0.894181105009226,-1.4986288445605,5.2119,20,0.4429,1,377.07,216,3.33,49.7,46,1
279,6.95399411137953,2.19442310400159,7,-1.19870541574829,-1.4986288445605,4.1007,20,0.4429,0,396.9,216,3.33,32.2,35.1,1
295,6.17632004542813,2.31228546698078,6,0.196090574435295,-1.1943938643994,5.9604,0,0.437,0,396.9,289,13.92,31.1,28.6,1
225,8.51731817158751,0.834997678633258,7,0.294477290504292,-0.695829524768667,2.8944,0,0.504,0,382,307,6.2,83,50,1
234,6.19279263547223,2.94141053178251,11,0.591696849801728,-0.695829524768667,3.6519,0,0.507,1,360.2,307,6.2,66.5,29,1
228,8.13206283538449,0.0500063989971475,9,-0.762491496329782,-0.695829524768667,3.3751,0,0.504,0,377.51,307,6.2,17,46.7,1
2,7.78730716165433,1.3381281436862,4,-0.373682762648608,-0.525818250464659,4.9671,0,0.469,0,392.83,242,7.07,61.1,34.7,1
184,6.52782520716575,3.37207154265739,0,-0.271224762251059,-0.525818250464659,2.9879,0,0.488,0,391,193,2.46,89.8,26.4,1
1,6.05245071932293,3.60149237664927,1,-0.756501971434319,-0.525818250464659,4.9671,0,0.469,0,396.9,242,7.07,78.9,21.6,1
94,6.16359394566091,3.2014146663075,1,-1.10922551572483,-0.341710340923556,3.615,28,0.464,0,396.9,270,15.04,77.3,20.6,1
74,5.71418580541844,2.82477382812149,2,-0.760298173265205,-0.0899986875399935,4.2515,0,0.437,0,394.92,398,12.83,6,24.1,1
81,6.41576733791646,2.32292051089095,2,-0.619698298643712,0.073471767344769,5.4007,25,0.426,0,395.63,281,4.86,70.4,23.9,1
35,6.12331499148452,4.07797228756042,-2,-0.98649720122963,0.187985637785564,3.3603,0,0.499,0,396.9,279,5.96,68.2,18.9,1
500,6.0131644736422,3.7259241613987,15,0.0403402294712942,0.187985637785564,2.4982,0,0.585,0,396.9,391,9.69,79.7,16.8,1
489,5.08318508892422,4.98243508136126,22,1.14874710907133,0.763410225319547,1.7554,0,0.609,0,344.05,711,27.74,98.3,7,1
356,5.63193634870526,4.18984783068426,23,2.00244442886988,0.833916637360556,2.1222,0,0.77,1,377.73,666,18.1,97.4,17.8,1
478,5.74493851813726,4.13215342219661,22,1.16988674159223,0.833916637360556,2.1705,0,0.614,0,379.7,666,18.1,96.7,14.6,1
388,5.74277262956057,5.32955848836627,25,1.33435456841544,0.833916637360556,1.5895,0,0.7,0,372.92,666,18.1,100,10.2,1
462,6.50454291958968,4.83564889154614,28,1.11358595557265,0.833916637360556,2.7344,0,0.713,0,396.9,666,18.1,83,19.5,1
371,9.37599493318212,0.205803719927439,21,0.995015968467177,0.833916637360556,1.1691,0,0.631,0,366.15,666,18.1,100,50,1
432,6.58707981158525,3.672065426881,25,1.67554527560076,0.833916637360556,2.2004,0,0.584,0,97.95,666,18.1,74.8,16.1,1
502,6.4420111118357,3.05615212368236,10,0.600658913068205,1.45124616523898,2.2875,0,0.573,0,396.9,273,11.93,76.7,20.6,1
18,6.3475461531276,2.50001423226373,4,0.146819077818228,1.45124616523898,3.7965,0,0.538,0,288.99,307,8.14,36.6,20.2,1
339,6.01257357485856,3.05237982360264,1,-1.00146991925243,0.833916637360556,4.8122,0,0.515,0,396.9,224,5.19,45.4,19,1
340,5.90179099048306,2.94010219178032,-1,-0.942237381503266,0.833916637360556,4.8122,0,0.515,0,396.9,224,5.19,58.5,18.7,1
111,6.00299795018147,3.74556432765276,5,-0.685513679240743,-0.525818250464659,2.6775,0,0.547,0,395.59,432,10.01,81.6,22.8,1
115,6.53738256752326,4.27185688943579,13,-0.417161495971075,-0.525818250464659,2.4631,0,0.547,0,344.91,432,10.01,88.2,18.3,1
490,5.52346340961377,4.77957896571275,16,-0.322137746287165,0.763410225319547,1.8226,0,0.609,0,318.43,711,27.74,98,8.1,1
212,5.30797045288487,3.04892267991389,8,-0.299514037675117,-0.142360813351939,3.6526,0,0.489,1,390.94,277,10.59,53.8,22.4,1
138,5.79615388755308,4.50993013940299,13,-0.230813169748103,1.62150192036674,1.6686,0,0.624,0,392.04,437,21.89,98.2,13.3,1
136,5.33770398137104,3.72788386018204,7,-0.106515801661242,1.62150192036674,1.9669,0,0.624,0,378.25,437,21.89,93.5,17.4,1
233,8.82562720392822,-0.153518900244944,2,-0.0935037427374783,-0.695829524768667,3.6519,0,0.507,0,378.95,307,6.2,70.4,48.3,1
158,6.11581685108108,3.34609694410901,9,0.553018734793929,-1.54701457236491,1.7573,0,0.605,0,353.89,403,19.58,100,24.3,1
154,4.84531018770238,5.67790047939977,14,0.575785257963076,-1.54701457236491,1.7494,0,0.871,1,321.02,403,19.58,96,17,1
141,5.84791896552054,3.90767821087601,8,0.637889913664838,1.62150192036674,1.4394,0,0.624,0,396.9,437,21.89,100,14.4,1
465,5.952659283873,2.96491205229112,19,0.922144908828823,0.833916637360556,3.0665,0,0.655,0,334.4,666,18.1,48.2,19.9,1
472,6.42120678297602,3.33018937748107,19,0.972481057837178,0.833916637360556,2.8965,0,0.58,0,393.37,666,18.1,75,23.2,1
461,6.12316565782187,4.40665489686494,25,0.986733084000734,0.833916637360556,2.5671,0,0.713,0,391.43,666,18.1,88.4,17.7,1
359,6.19626616009469,3.21426997985387,22,1.04593205570304,0.833916637360556,2.5091,0,0.77,0,390.74,666,18.1,81.3,22.6,1
467,6.67531801912551,3.10152469689605,22,1.06119035413388,0.833916637360556,2.5403,0,0.584,0,331.29,666,18.1,94.5,19.1,1
473,7.31419066966421,2.13445166000582,19,1.0815276492846,0.833916637360556,2.5329,0,0.614,0,374.68,666,18.1,67.6,29.8,1
368,9.32270741701515,0.625751485594806,26,1.10308845635889,0.833916637360556,1.3325,0,0.631,0,375.52,666,18.1,100,50,1
452,6.0316480746827,3.95144281832868,22,1.118783357068,0.833916637360556,2.3682,0,0.713,0,385.09,666,18.1,91.8,16.1,1
369,8.3069973719952,1.88352656044532,26,1.16265648347329,0.833916637360556,1.3567,0,0.631,1,375.33,666,18.1,96.8,50,1
481,6.76608438148185,3.20134550141372,17,1.16537917921538,0.833916637360556,3.3317,0,0.532,0,393.07,666,18.1,74.9,23.7,1
396,5.71418694744442,4.95017519199924,19,1.17684560946746,0.833916637360556,1.6768,0,0.693,0,396.9,666,18.1,96,12.5,1
459,5.78784496845118,3.65573243597426,26,1.23609730488857,0.833916637360556,2.7175,0,0.713,0,396.9,666,18.1,84.4,20,1
390,5.27023779061363,4.41869823600279,17,1.24549561341797,0.833916637360556,1.9265,0,0.7,0,394.43,666,18.1,97,15.1,1
372,8.75097176764901,1.5278692864868,25,1.31422930153939,0.833916637360556,1.1296,0,0.668,1,347.88,666,18.1,89.6,50,1
382,5.9964134001434,4.01640862254658,23,1.35620121079935,0.833916637360556,1.5804,0,0.7,0,396.9,666,18.1,100,11.3,1
377,5.67886611997731,3.74265622847179,19,1.38277536154235,0.833916637360556,1.358,0,0.671,0,396.9,666,18.1,98.8,13.3,1
399,5.29924022187874,4.76485015713074,20,1.38651151104938,0.833916637360556,1.5004,0,0.693,0,338.16,666,18.1,77.8,6.3,1
392,4.96118029972568,4.94190856944339,27,1.44775841696885,0.833916637360556,1.77,0,0.7,0,396.9,666,18.1,97,9.7,1
444,5.8818953762183,5.22230231997856,23,1.48740706617275,0.833916637360556,1.8956,0,0.74,0,240.52,666,18.1,96.6,10.8,1
367,7.23652528398837,3.82724129474819,25,1.50896405141576,0.833916637360556,1.5106,0,0.631,0,131.42,666,18.1,100,23.1,1
376,5.53011086041656,4.29335333495781,24,1.55730899607216,0.833916637360556,1.3449,0,0.671,0,363.02,666,18.1,93.3,13.9,1
385,5.37477577748958,5.6002367115684,28,1.59475409965225,0.833916637360556,1.4261,0,0.7,0,396.9,666,18.1,98.1,7.2,1
379,6.32224187347652,3.71816226758949,25,1.61876675299813,0.833916637360556,1.3861,0,0.671,0,393.74,666,18.1,100,10.2,1
374,5.46507209652861,3.99079245966972,20,1.63248709431532,0.833916637360556,1.137,0,0.668,0,396.9,666,18.1,100,13.8,1
412,6.98053810808192,4.28099002109331,22,1.63911539124475,0.833916637360556,1.5539,0,0.597,0,28.79,666,18.1,100,17.9,1
375,5.94757802724022,4.14774157482265,23,1.65555562609375,0.833916637360556,1.3163,0,0.671,0,396.9,666,18.1,97.9,15,1
398,5.20371901819369,4.65512225019987,27,1.9281843063954,0.833916637360556,1.4896,0,0.693,0,396.9,666,18.1,100,5,1
505,5.06273854178363,4.18274802678178,1,-1.07990510068301,1.45124616523898,2.505,0,0.573,0,396.9,273,11.93,80.8,11.9,1
491,5.18348951431063,4.10934797372888,4,-0.661198319646137,0.763410225319547,1.8681,0,0.609,0,390.11,711,27.74,98.8,13.6,1
492,6.09552299949547,3.39992447467059,4,-0.634909866974509,0.763410225319547,2.1099,0,0.609,0,396.9,711,27.74,83.5,20.1,1
127,6.09981135630534,4.29689858106514,4,-0.212853793637417,1.62150192036674,1.7883,0,0.624,0,392.11,437,21.89,96,16.2,1
139,6.41417175157578,3.15298147222344,4,0.14213510198575,1.62150192036674,1.6687,0,0.624,0,396.9,437,21.89,97.9,17.8,1
132,7.08089538790132,3.6138617814805,4,0.179614936911932,1.62150192036674,2.3274,0,0.624,0,385.76,437,21.89,97.9,23,1
15,5.93270690959946,3.53247258253599,4,0.208132786614066,1.45124616523898,4.4986,0,0.538,0,395.62,307,8.14,56.5,19.9,1
14,6.63366498358999,2.84833044709464,4,0.215879314531124,1.45124616523898,4.4619,0,0.538,0,380.02,307,8.14,84.5,18.2,1
26,6.494669663919,2.24813786020125,4,0.239869957997484,1.45124616523898,4.682,0,0.538,0,376.88,307,8.14,90.3,16.6,1
19,6.05775417966768,3.21133062462245,4,0.27542816205318,1.45124616523898,3.7965,0,0.538,0,390.95,307,8.14,69.5,18.2,1
30,5.7448264662784,4.22083802947796,4,0.476554392195228,1.45124616523898,4.233,0,0.538,0,360.17,307,8.14,94.1,12.7,1
323,5.84166322569603,3.49454464945078,5,-0.168397045747662,0.431102979977672,4.7211,0,0.493,0,391.13,287,7.38,74.3,18.5,1
262,7.90437254723265,1.53770409059581,5,0.120675140568934,-1.88714317572526,2.2885,20,0.647,0,386.86,264,3.97,91.5,48.8,1
236,6.21397555942805,3.86460986947652,8,0.121071810009603,-0.695829524768667,4.148,0,0.507,1,388.45,307,6.2,76.5,25.1,1
485,5.90314842700061,3.18309603153194,24,0.984540295939018,0.833916637360556,3.9917,0,0.583,0,388.62,666,18.1,51.9,21.2,1
366,6.7210083169652,3.24536880131316,24,0.987164780740247,0.833916637360556,1.7523,0,0.718,0,316.03,666,18.1,91.4,21.9,1
357,6.06264391900921,3.82904284450717,24,1.00396237613269,0.833916637360556,2.5052,0,0.77,1,391.34,666,18.1,91,21.7,1
363,5.8910760205254,4.1326083518793,24,1.04215131493884,0.833916637360556,1.9047,0,0.77,1,353.04,666,18.1,89,16.8,1
358,6.43825549603779,3.52854251460332,24,1.12762408855773,0.833916637360556,2.7227,0,0.77,1,395.43,666,18.1,83.4,22.7,1
451,6.60943524194598,4.46731784177638,24,1.14593090537205,0.833916637360556,2.3552,0,0.713,0,355.29,666,18.1,98.2,15.2,1
442,5.88475700986157,3.9503156760435,24,1.16239818470639,0.833916637360556,2.0048,0,0.74,0,395.69,666,18.1,100,18.4,1
482,6.60739215027244,3.59501664314734,24,1.16700786012726,0.833916637360556,3.4106,0,0.532,0,395.28,666,18.1,77,25,1
463,6.1044814412668,3.09466176039422,24,1.17332038105581,0.833916637360556,2.8016,0,0.713,0,393.82,666,18.1,89.9,20.2,1
475,6.32262498947319,4.42630594684753,24,1.21119103806884,0.833916637360556,2.206,0,0.584,0,302.76,666,18.1,97.4,13.3,1
450,6.76778301716057,4.37936653200904,24,1.2311333393862,0.833916637360556,2.3236,0,0.713,0,0.32,666,18.1,92.6,13.4,1
421,5.59332755860559,4.770760612225,24,1.2489656791006,0.833916637360556,1.8746,0,0.718,0,319.98,666,18.1,95.3,14.2,1
464,5.89414955058993,4.0693308250223,24,1.29301921203609,0.833916637360556,2.9634,0,0.655,0,396.9,666,18.1,65.4,21.4,1
453,6.43110288212293,3.36210029617616,24,1.31330429179045,0.833916637360556,2.4527,0,0.713,0,375.87,666,18.1,99.3,17.8,1
393,5.88384350473237,5.05928296245924,24,1.33201451446875,0.833916637360556,1.7912,0,0.693,0,396.9,666,18.1,92.6,13.8,1
395,6.24058389537202,4.38333730987967,24,1.3353145407998,0.833916637360556,1.7257,0,0.693,0,391.98,666,18.1,98.8,13.1,1
448,5.69549295925771,4.52875893264643,24,1.36229418288493,0.833916637360556,2.2616,0,0.713,0,396.9,666,18.1,98.7,14.1,1
439,6.35574657168123,3.76996169995604,24,1.36490377735979,0.833916637360556,1.8172,0,0.74,0,396.9,666,18.1,93.9,12.8,1
454,6.09962846354081,4.01995967509197,24,1.37006710054033,0.833916637360556,2.4961,0,0.713,0,6.68,666,18.1,94.1,14.9,1
420,5.89246320286861,3.7162586069244,24,1.43066367003374,0.833916637360556,1.8589,0,0.718,0,318.75,666,18.1,100,16.7,1
407,6.70888488287689,2.58023107690711,24,1.46027777257684,0.833916637360556,1.2852,0,0.659,0,332.09,666,18.1,100,27.9,1
422,6.59235303737794,4.49333971873012,24,1.46346992390542,0.833916637360556,1.9512,0,0.614,0,291.55,666,18.1,87.6,20.8,1
479,6.33952405634875,4.07137959300957,24,1.53192093564319,0.833916637360556,1.9512,0,0.614,0,383.32,666,18.1,88,21.4,1
436,6.09410452054997,4.41930447887923,24,1.5343070890303,0.833916637360556,2.0026,0,0.74,0,27.49,666,18.1,93.3,9.6,1
437,5.96278579477376,5.44266046178019,24,1.55444361468444,0.833916637360556,1.9142,0,0.74,0,9.32,666,18.1,100,8.7,1
425,6.61179538573175,5.64010281172553,24,1.5717883072033,0.833916637360556,1.9096,0,0.679,0,7.68,666,18.1,95.4,8.3,1
403,4.82838922898573,4.24883872389175,24,1.74910839838682,0.833916637360556,1.7028,0,0.693,0,396.9,666,18.1,96,8.3,1
400,4.51034908844231,5.21680917506655,24,1.75304366103184,0.833916637360556,1.5888,0,0.693,0,396.9,666,18.1,100,5.6,1
162,7.75021116237806,0.703277836888304,5,0.689554520274477,-1.54701457236491,2.0407,0,0.605,1,389.61,403,19.58,98.2,50,1
3,7.93256712851124,1.22239639347408,3,-1.28466117089126,-0.0899986875399935,6.0622,0,0.458,0,394.63,222,2.18,45.8,33.4,1
283,8.02575199334529,1.31541277936379,1,-1.70749712180623,-1.78046140438548,5.885,90,0.401,1,395.52,198,1.21,24.8,50,1
268,8.14869262370409,1.31541277936379,5,0.138667536513616,-1.88714317572526,2.872,20,0.575,0,390.3,264,3.97,52.6,43.5,1
308,6.5020641216679,1.80631120682691,4,0.0954761316852015,-0.24401601094397,3.3175,0,0.544,0,396.9,304,9.9,82.5,22.8,1
344,7.23732772050969,1.8279447812707,5,-1.31708338639151,-0.61251795246359,6.4654,55,0.484,0,387.97,370,3.78,28.1,31.2,1
341,7.21475319348595,2.08036984631574,1,-1.78767987144046,-1.34109488233123,7.0379,35,0.442,0,394.74,284,1.52,49.3,32.7,1
326,5.7920176411736,2.24986775619655,5,-0.136109565180084,0.431102979977672,5.4159,0,0.493,0,396.9,287,7.38,28.9,23,1
273,6.47848778387208,2.35287367393696,3,-0.288987861891264,-0.142360813351939,4.3665,20,0.464,1,390.77,223,6.96,51.8,35.2,1
360,6.85311915670559,2.61719309471249,24,1.07215547032633,0.833916637360556,2.5182,0,0.77,0,374.56,666,18.1,88,25,1
91,6.79129609629044,2.69954300341079,2,-1.17985789526451,-0.525818250464659,3.0921,0,0.489,0,393.55,270,3.41,73.9,22,1
319,5.66130146750436,3.4466007021822,4,0.0784381586264715,-0.24401601094397,4.0019,0,0.544,0,396.23,304,9.9,58.8,21,1
498,5.84629511855605,3.47309064222919,6,-0.252215954094587,0.187985637785564,2.4091,0,0.585,0,396.9,391,9.69,65.3,21.2,1
31,6.02331951854735,3.48966651168965,4,0.556915495826945,1.45124616523898,4.175,0,0.538,0,376.73,307,8.14,100,14.5,1
121,6.4115419806422,3.65312102596691,2,-0.862334898869117,0.130160746119299,2.1974,0,0.581,0,377.67,188,25.65,84.1,20.3,1
486,5.89619310499089,3.74257336001008,24,1.16421049007105,0.833916637360556,3.5459,0,0.583,0,392.68,666,18.1,79.8,19.1,1
460,6.60099947835517,3.91438725130026,24,1.09583725578577,0.833916637360556,2.5975,0,0.713,0,255.23,666,18.1,90,16.4,1
25,6.52434994245045,3.92473330146628,4,0.342612756449429,1.45124616523898,4.4546,0,0.538,0,303.42,307,8.14,85.7,13.9,1
7,6.48735437794466,4.21047142468078,5,-0.502433224764114,-1.42225756521518,5.9505,12.5,0.524,0,396.9,311,7.87,96.1,27.1,1
401,5.07195777138887,4.32743444105458,24,1.52923259354833,0.833916637360556,1.5741,0,0.693,0,396.9,666,18.1,100,7.2,1
389,5.68974835252505,4.3787117756316,24,1.30861860311048,0.833916637360556,1.7281,0,0.7,0,396.9,666,18.1,98.9,11.5,1
381,5.77589253930811,4.4006514086449,24,1.57213846434682,0.833916637360556,1.5192,0,0.671,0,396.9,666,18.1,99.1,10.9,1
384,4.368,5.18159064937947,24,1.66505245342637,0.833916637360556,1.4395,0,0.7,0,285.83,666,18.1,91.2,8.8,1
414,4.519,5.60127400904851,24,2.00419999588948,0.833916637360556,1.6582,0,0.693,0,88.27,666,18.1,100,7,1
386,4.652,5.00912879101723,24,1.74246001076939,0.833916637360556,1.4672,0,0.7,0,396.9,666,18.1,100,10.5,1
413,5.155,4.30387419535558,24,1.80741741062625,0.833916637360556,1.5894,0,0.597,0,210.97,666,18.1,100,16.3,1
477,5.304,4.74136542606774,24,1.55043152293854,0.833916637360556,2.1007,0,0.614,0,349.48,666,18.1,97.3,12,1
211,5.404,4.6625677969456,4,-0.0332999676439515,-0.142360813351939,3.665,0,0.489,1,395.24,277,10.59,88.6,19.3,1
214,5.412,5.10364896126125,4,-0.15886390730877,-0.142360813351939,3.5875,0,0.489,0,348.93,277,10.59,9.8,23.7,1
474,5.427,4.10497825759137,24,1.30389483051364,0.833916637360556,2.4298,0,0.584,0,352.58,666,18.1,95.4,13.8,1
488,5.454,4.09643014889608,4,-0.480933234852322,0.763410225319547,1.8209,0,0.609,0,395.09,711,27.74,92.7,15.2,1
383,5.52,4.71198134745573,24,1.30074584166071,0.833916637360556,1.5331,0,0.7,0,396.9,666,18.1,100,12.3,1
499,5.569,3.75736695172757,6,-0.398617088725536,0.187985637785564,2.3999,0,0.585,0,395.77,391,9.69,73.5,17.5,1
20,5.57,4.39494591795916,4,0.521878431718159,1.45124616523898,3.7979,0,0.538,0,376.57,307,8.14,98.1,13.6,1
245,5.605,4.13888231107415,7,-0.36222604460813,0.130160746119299,7.9549,22,0.431,0,389.13,330,5.86,70.2,18.5,1
408,5.617,4.86300117030948,24,1.27016290691549,0.833916637360556,1.4547,0,0.597,0,314.64,666,18.1,97.9,17.2,1
8,5.631,5.13132001327312,5,-0.31321840075209,-1.42225756521518,6.0821,12.5,0.524,0,386.63,311,7.87,100,16.5,1
354,5.663,2.669791809027,4,-1.13183242629733,2.37435025588153,10.5857,80,0.413,0,382.8,334,1.91,21.9,18.2,1
495,5.67,4.04670290115981,6,-0.395377704364502,0.187985637785564,2.7986,0,0.585,0,393.29,391,9.69,28.8,23.1,1
315,5.705,3.26729959955056,4,-0.22350709134711,-0.24401601094397,3.945,0,0.544,0,396.42,304,9.9,77.7,16.2,1
331,5.706,3.40414597400055,1,-1.04921059515345,-0.89012178462863,6.6407,35,0.4379,0,394.02,304,6.06,28.4,17.1,1
469,5.713,3.71521240083281,24,1.49571650437187,0.833916637360556,2.8237,0,0.58,0,396.9,666,18.1,56.7,20.1,1
410,5.757,3.04587464418292,24,2.05366507699716,0.833916637360556,1.413,0,0.597,0,2.6,666,18.1,100,15,1
134,5.757,4.01483497528896,4,0.410466167700012,1.62150192036674,2.346,0,0.624,0,262.76,437,21.89,98.4,15.6,1
483,5.762,3.09720566446305,24,0.873522118462933,0.833916637360556,4.0983,0,0.532,0,392.92,666,18.1,40.3,21.8,1
